phrase,acceptability score
maximum brewery,0.0
comic gland,0.0
distant butter,0.0
genetic poet,0.0
confident funeral,0.0
fat authentication,0.0
nuclear television,0.0
commercial planet,0.0
blue lottery,0.0
severe telescope,0.0
opposite passport,0.0
attractive harassment,0.0
printed prisoner,0.0
professional banana,0.0
minimum son,0.0
blind sugar,0.0
part-time ale,0.0
enjoyable dust,0.0
logical goat,0.0
lead snow,0.0
due tongue,0.0
continuous vet,0.0
chronic alumnus,0.0
yellow cooking,0.0
ethnic cash,0.0
minimum priest,0.0
immediate cow,0.0
quick chimney,0.0
guilty forest,0.0
rear liver,0.0
busy dollar,0.0
confident floor,0.0
charitable bicycle,0.0
absolute carpet,0.0
wealthy kilometre,0.0
electrical lending,0.0
sophisticated odd,0.0
rear asthma,0.0
parallel skull,0.0
armed header,0.0
guilty noon,0.0
pregnant broadcast,0.0
conservative thank,0.0
automatic kilometer,0.0
academic sunset,0.0
adverse pony,0.0
sophisticated electricity,0.0
black protein,0.0
ready algebra,0.0
likely lamb,0.0
latter fireplace,0.0
accurate ore,0.0
structural fairy,0.0
sound cookie,0.0
innovative dead,0.0
magnetic statistic,0.0
pregnant oxide,0.0
wooden coefficient,0.0
mental semester,0.0
outer duo,0.0
monthly archbishop,0.0
willing mushroom,0.0
compulsory castle,0.0
mass juice,0.0
oral wildlife,0.0
tropical bullet,0.0
simple midnight,0.0
recent drum,0.0
architectural fishing,0.0
architectural singing,0.0
occasional mayor,0.0
interactive beef,0.0
psychological rifle,0.0
lead uncle,0.0
ethnic snow,0.0
electoral carpet,0.0
Christian container,0.0
long-term nucleus,0.0
animal inch,0.0
charitable skull,0.0
administrative smell,0.0
psychological automobile,0.0
low grandmother,0.0
fellow trouser,0.0
interested penny,0.0
comfortable petrol,0.0
careful shelf,0.0
median mall,0.0
nervous fungus,0.0
guilty car,0.0
brown lecture,0.0
skilled wagon,0.0
gay luggage,0.0
part-time city,0.0
east dictionary,0.0
emotional knee,0.0
informal volcano,0.0
keen suite,0.0
manual heir,0.0
contemporary liver,0.0
electrical teenager,0.0
continuous millennium,0.0
confident luggage,0.0
written shore,0.0
organic visa,0.0
dead towel,0.0
registered gut,0.0
skilled morning,0.0
bright odd,0.0
pregnant apartment,0.0
sharp everyone,0.0
ill bulb,0.0
dry poverty,0.0
sick odd,0.0
oral penny,0.0
square freedom,0.0
slight academy,0.0
immediate canon,0.0
assistant nothing,0.0
disabled angle,0.0
chronic mankind,0.0
informal palm,0.0
federal metre,0.0
parallel bath,0.0
printed academy,0.0
mathematical lamb,0.0
civilian lump,0.0
part-time rabbit,0.0
wealthy onion,0.0
online swimmer,0.0
yellow ranking,0.0
interested roof,0.0
electronic calcium,0.0
graphic livestock,0.0
chronic hundred,0.0
oral courtyard,0.0
charitable fly,0.0
wise hardware,0.0
social fruit,0.0
subject rope,0.0
religious rocket,0.0
mobile pregnancy,0.0
Jewish byte,0.0
rear husband,0.0
gay sauce,0.0
extensive yesterday,0.0
electoral waterway,0.0
oral ocean,0.0
democratic beach,0.0
chronic qualification,0.0
available storm,0.0
clear banana,0.0
democratic banana,0.0
genetic wicket,0.0
empty moisture,0.0
widespread bishop,0.0
rear reality,0.0
audio archbishop,0.0
welcome nitrogen,0.0
relative handset,0.0
legislative limestone,0.0
mature alarm,0.0
brown repayment,0.0
chronic leather,0.0
cool glucose,0.0
radical bolt,0.0
electrical critique,0.0
armed cholesterol,0.0
wooden killing,0.0
armed ion,0.0
married dress,0.0
total yesterday,0.0
ethical asbestos,0.0
guilty mortgage,0.0
medieval flesh,0.0
integral while,0.0
interested bandwidth,0.0
plastic freshwater,0.0
successful sleeve,0.0
helpful downtown,0.0
honest sodium,0.0
thick joy,0.0
solar pdf,0.0
pregnant grant,0.0
mathematical actor,0.0
slight household,0.0
solar fairy,0.0
pregnant clock,0.0
direct particular,0.0
medieval lump,0.0
least insert,0.0
statutory vowel,0.0
able terminus,0.0
Latin boost,0.0
statutory sleeve,0.0
armed semester,0.0
willing fountain,0.0
guilty tomato,0.0
male glacier,0.0
nervous upgrade,0.0
mixed hole,0.0
civil rice,0.0
rapid towel,0.0
part-time worm,0.0
due breadth,0.0
monthly monkey,0.0
musical agriculture,0.0
electoral flu,0.0
back publicity,0.0
electronic snow,0.0
guilty toilet,0.0
plastic thank,0.0
able despair,0.0
angry archive,0.0
video champagne,0.0
guilty courtyard,0.0
keen dirt,0.0
red cholesterol,0.0
printed fishing,0.0
solar overall,0.0
continued cookie,0.0
magnetic disappointment,0.0
inner wine,0.0
wet obesity,0.0
necessary sporting,0.0
overseas decade,0.0
financial listener,0.0
proud cupboard,0.0
enjoyable cylinder,0.0
Muslim erm,0.0
tropical testimony,0.0
guilty petrol,0.0
steep navy,0.0
opposite rubbish,0.0
preliminary throat,0.0
biological playwright,0.0
wise snow,0.0
consecutive archaeologist,0.0
digital salt,0.0
brown completion,0.0
peaceful rear,0.0
responsible oxide,0.0
ready semester,0.0
opposite warmth,0.0
superb tumor,0.0
comic rope,0.0
guilty pin,0.0
steep childhood,0.0
successful wrist,0.0
ready artefact,0.0
North sex,0.0
manual epilepsy,0.0
Catholic leg,0.0
skilled holiday,0.0
distant handful,0.0
geographical hundred,0.0
written oak,0.0
slow tin,0.0
least oxide,0.0
fat institution,0.0
chronic clan,0.0
enormous oxygen,0.0
vocal vegetable,0.0
brown hypothesis,0.0
defensive url,0.0
federal ant,0.0
positive shore,0.0
armed biography,0.0
mathematical towel,0.0
welcome brick,0.0
angry lamp,0.0
integral moth,0.0
amateur rabbit,0.0
solar fat,0.0
ill bubble,0.0
interested medicine,0.0
amateur river,0.0
plain genome,0.0
busy skeleton,0.0
charitable steel,0.0
optical hip,0.0
vast ankle,0.0
adverse well,0.0
median yesterday,0.0
wealthy gut,0.0
Muslim dividend,0.0
racial jacket,0.0
systematic lip,0.0
wise shower,0.0
equal fridge,0.0
live clay,0.0
net basketball,0.0
sudden dress,0.0
pregnant special,0.0
strategic alcohol,0.0
administrative harvest,0.0
